subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.8526570048309179,0.8197424892703863,0.10497237569060773,0.07028592438189592
East Asian_Old,102,True,0.8725490196078431,0.8709677419354839,0.125,0.08250630274415013
White_Middle,1376,True,0.9447674418604651,0.9620786516853933,0.07379518072289157,0.016072315077275745
Latino_Hispanic_Middle,1031,True,0.9456838021338506,0.9680638722554891,0.07547169811320754,0.022753368145366156
Southeast Asian_Middle,865,True,0.930635838150289,0.9197247706422018,0.05827505827505827,0.014903739107654275
Black_Middle,928,True,0.8760775862068966,0.9552238805970149,0.2047930283224401,0.0793435000172206
Southeast Asian_Young,421,True,0.8218527315914489,0.7709251101321586,0.11855670103092783,0.08349125811967315
Indian_Middle,930,True,0.9602150537634409,0.9806451612903225,0.060215053763440864,0.025086208657231362
Middle Eastern_Old,179,True,0.9664804469273743,0.9787234042553191,0.07894736842105263,0.030926067049110405
East Asian_Middle,1034,True,0.9206963249516441,0.8858921161825726,0.04891304347826087,0.026785324560027975
Middle Eastern_Middle,819,True,0.9658119658119658,0.9673321234119783,0.03731343283582089,0.01416197274180449
Indian_Young,387,True,0.8010335917312662,0.7348066298342542,0.1407766990291262,0.07400461957243679
Black_Old,144,True,0.8194444444444444,0.9393939393939394,0.28205128205128205,0.1281544663425949
Indian_Old,199,True,0.9246231155778895,0.9719626168224299,0.13043478260869565,0.04054749143501773
White_Young,407,True,0.7813267813267813,0.665,0.10628019323671498,0.10616367207771436
Middle Eastern_Young,211,True,0.8246445497630331,0.7520661157024794,0.07777777777777778,0.1175165228121936
Latino_Hispanic_Old,180,True,0.9388888888888889,0.9809523809523809,0.12,0.037157555038316394
Black_Young,484,True,0.7355371900826446,0.7803030303030303,0.3181818181818182,0.06429793577918337
Southeast Asian_Old,129,True,0.8604651162790697,0.8333333333333334,0.10526315789473684,0.07539458555537601
Latino_Hispanic_Young,412,True,0.8106796116504854,0.7272727272727273,0.12,0.07918622550889126
White_Old,302,True,0.9337748344370861,0.9666666666666667,0.14130434782608695,0.019344766414570086
