subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.8405797101449275,0.8369098712446352,0.15469613259668508,0.05664991382239521
East Asian_Old,102,True,0.9019607843137255,0.9193548387096774,0.125,0.08058357421381798
White_Middle,1376,True,0.9454941860465116,0.9620786516853933,0.07228915662650602,0.02189391896096168
Latino_Hispanic_Middle,1031,True,0.9524733268671193,0.9680638722554891,0.062264150943396226,0.025257074919996278
Southeast Asian_Middle,865,True,0.930635838150289,0.9334862385321101,0.07226107226107226,0.014361450027652914
Black_Middle,928,True,0.8717672413793104,0.9488272921108742,0.20697167755991286,0.0823390095711461
Southeast Asian_Young,421,True,0.8456057007125891,0.8149779735682819,0.11855670103092783,0.05948285008128069
Indian_Middle,930,True,0.9602150537634409,0.989247311827957,0.06881720430107527,0.03272074127509711
Middle Eastern_Old,179,True,0.9720670391061452,0.9858156028368794,0.07894736842105263,0.028378252137722916
East Asian_Middle,1034,True,0.9197292069632496,0.8962655601659751,0.059782608695652176,0.018878403539468503
Middle Eastern_Middle,819,True,0.9694749694749695,0.9800362976406534,0.05223880597014925,0.016790101054478198
Indian_Young,387,True,0.7751937984496124,0.7513812154696132,0.20388349514563106,0.07772680939938054
Black_Old,144,True,0.8194444444444444,0.9393939393939394,0.28205128205128205,0.14016251729076937
Indian_Old,199,True,0.9246231155778895,0.9719626168224299,0.13043478260869565,0.045284016479050115
White_Young,407,True,0.7862407862407862,0.7,0.13043478260869565,0.09121876856179437
Middle Eastern_Young,211,True,0.8483412322274881,0.7768595041322314,0.05555555555555555,0.090742131942327
Latino_Hispanic_Old,180,True,0.9388888888888889,0.9809523809523809,0.12,0.04661162729995948
Black_Young,484,True,0.756198347107438,0.8143939393939394,0.31363636363636366,0.056773523530684225
Southeast Asian_Old,129,True,0.8914728682170543,0.8888888888888888,0.10526315789473684,0.047599485634948854
Latino_Hispanic_Young,412,True,0.8276699029126213,0.7700534759358288,0.12444444444444444,0.06991340483547849
White_Old,302,True,0.9503311258278145,0.9809523809523809,0.11956521739130435,0.03284000964921632
